数据源	文本序号	文本	Opinion 列表	Opinion：ACOS列表
laptop_quad_dev	23.0	external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .	3,4; -1,-1; 	3,4:[0,2 MULTIMEDIA_DEVICES#GENERAL 2 3,4]; -1,-1:[0,2 MULTIMEDIA_DEVICES#GENERAL 0 -1,-1]; 
laptop_quad_dev	24.0	screen is good .	2,3; 	2,3:[0,1 DISPLAY#GENERAL 2 2,3]; 
laptop_quad_dev	25.0	keyboard is decent with good travel .	2,3; 4,5; 	2,3:[0,1 KEYBOARD#PORTABILITY 2 2,3]; 4,5:[0,1 KEYBOARD#PORTABILITY 2 4,5]; 
laptop_quad_dev	26.0	screen is amazing	2,3; 	2,3:[0,1 DISPLAY#GENERAL 2 2,3]; 
laptop_quad_dev	27.0	thin bezels allow for a compact frame	0,1; 	0,1:[1,2 LAPTOP#DESIGN_FEATURES 2 0,1]; 
laptop_quad_dev	28.0	overall this is a good system for the price and i do recommend the ssd for the price .	4,5; 12,13; 	4,5:[5,6 OS#PRICE 2 4,5]; 12,13:[14,15 HARD_DISC#PRICE 2 12,13]; 
laptop_quad_dev	29.0	but my main concerns for everyone is the heat and fan noises , both are very apparent and if you have this on your lap you better have a laptop tray or keep it on a desk .	3,4; 	3,4:[10,11 FANS&COOLING#OPERATION_PERFORMANCE 0 3,4]; 
laptop_quad_dev	30.0	always loved asus and they build amazing machines .	1,2; 6,7; 	1,2:[2,3 COMPANY#GENERAL 2 1,2]; 6,7:[7,8 LAPTOP#GENERAL 2 6,7]; 
laptop_quad_dev	31.0	if you can save for 750 - 800 i would recommend going up a bit in the asus line .	10,11; 	10,11:[17,18 COMPANY#GENERAL 2 10,11]; 
laptop_quad_dev	32.0	it seems like there is a problem with the processor because it constantly starts and stops while i ' m trying to surf the web .	-1,-1; 	-1,-1:[9,10 CPU#GENERAL 0 -1,-1]; 
laptop_quad_dev	33.0	bought this on may , barely used it and now 4 months later it ' s randomly shutting down every few minutes .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 0 -1,-1]; 
laptop_quad_dev	34.0	pros : lightweight and looks nice .	0,1; 2,3; 5,6; 	0,1:[-1,-1 LAPTOP#PORTABILITY 2 0,1, -1,-1 LAPTOP#GENERAL 2 0,1]; 2,3:[-1,-1 LAPTOP#PORTABILITY 2 2,3]; 5,6:[-1,-1 LAPTOP#GENERAL 2 5,6]; 
laptop_quad_dev	35.0	this computer is loud !	3,4; 	3,4:[1,2 LAPTOP#DESIGN_FEATURES 0 3,4]; 
laptop_quad_dev	36.0	i am so disgusted and disheartened by my dealings with asus support , it ' s hard to believe .	3,4; 5,6; 	3,4:[10,12 SUPPORT#QUALITY 0 3,4]; 5,6:[10,12 SUPPORT#QUALITY 0 5,6]; 
laptop_quad_dev	37.0	returned because had it less than a month and it decided to go crazy and start typing by its self ect .	13,14; 	13,14:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 13,14]; 
laptop_quad_dev	38.0	this computer has wasted so much of my time already .	-1,-1; 	-1,-1:[1,2 LAPTOP#GENERAL 0 -1,-1]; 
laptop_quad_dev	39.0	it still is nice looking with a textured cover and being black overall .	3,4; 	3,4:[-1,-1 LAPTOP#DESIGN_FEATURES 2 3,4]; 
laptop_quad_dev	40.0	it opens programs immediately .	-1,-1; 	-1,-1:[-1,-1 OS#OPERATION_PERFORMANCE 2 -1,-1]; 
laptop_quad_dev	41.0	i do not think i will need to upgrade the ram .	-1,-1; 	-1,-1:[10,11 MEMORY#GENERAL 1 -1,-1]; 
laptop_quad_dev	42.0	acer made a winner here !	3,4; 	3,4:[0,1 LAPTOP#GENERAL 2 3,4]; 
laptop_quad_dev	43.0	buy this computer and you ' ll be very happy with it .	9,10; 	9,10:[2,3 LAPTOP#PRICE 2 9,10]; 
laptop_quad_dev	44.0	+ backlight kb and travel feels pretty nice on the keys .	7,8; 	7,8:[1,3 KEYBOARD#OPERATION_PERFORMANCE 2 7,8, 10,11 KEYBOARD#OPERATION_PERFORMANCE 2 7,8]; 
laptop_quad_dev	45.0	- an optical drive if you ever want to play a classic game or watch a dvd .	-1,-1; 	-1,-1:[2,4 OPTICAL_DRIVES#GENERAL 1 -1,-1]; 
laptop_quad_dev	46.0	the ports were another thing that i was really excited to see fully included on a laptop in this price range .	9,10; -1,-1; 	9,10:[1,2 PORTS#GENERAL 2 9,10]; -1,-1:[16,17 LAPTOP#PRICE 2 -1,-1]; 
laptop_quad_dev	47.0	i ' ve been happy being able to plug in and run overwatch from time to time on this laptop , with higher settings .	4,5; 	4,5:[19,20 LAPTOP#DESIGN_FEATURES 2 4,5]; 
laptop_quad_dev	48.0	this is the best laptop for the price .	3,4; 	3,4:[4,5 LAPTOP#PRICE 2 3,4]; 
laptop_quad_dev	49.0	i like that it ' s got the 8th generation i5 cpu .	1,2; 	1,2:[8,12 CPU#GENERAL 2 1,2]; 
laptop_quad_dev	50.0	dedicated graphics card	0,1; 	0,1:[1,3 GRAPHICS#GENERAL 2 0,1]; 
laptop_quad_dev	51.0	the plastic that borders the screen kind of comes out ever so slightly .	-1,-1; 	-1,-1:[5,6 DISPLAY#DESIGN_FEATURES 0 -1,-1]; 
laptop_quad_dev	52.0	it ' s pretty fast for a laptop especially a laptop in this price point .	4,5; -1,-1; 	4,5:[10,11 LAPTOP#OPERATION_PERFORMANCE 2 4,5]; -1,-1:[-1,-1 LAPTOP#PRICE 2 -1,-1]; 
laptop_quad_dev	53.0	i would knock a star for the hard drive size since it ' s incredibly small but at this price you can easily pick up large one to add if you want to and it ' s not like you aren ' t warned when you buy it .	15,16; 	15,16:[7,10 HARD_DISC#MISCELLANEOUS 2 15,16]; 
laptop_quad_dev	54.0	the picture clarity is amazing and the backlit keyboard is awesome .	4,5; 10,11; 	4,5:[1,3 DISPLAY#QUALITY 2 4,5]; 10,11:[7,9 KEYBOARD#DESIGN_FEATURES 2 10,11]; 
laptop_quad_dev	55.0	overall , this budget laptop ticks all the boxes and there is nothing on the market that is new with so many features crammed in at this price .	-1,-1; 	-1,-1:[3,5 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	56.0	can ' t beat it for the price .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#PRICE 2 -1,-1]; 
laptop_quad_dev	57.0	also love that access to the hd / ssd and ram slots is really easy .	14,15; 1,2; 	14,15:[10,12 MEMORY#DESIGN_FEATURES 2 14,15]; 1,2:[6,9 MEMORY#DESIGN_FEATURES 2 1,2]; 
laptop_quad_dev	58.0	acer seems to be the only one who puts together stuff like this .	-1,-1; 	-1,-1:[0,1 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	59.0	the bluetooth connects easily to everything .	-1,-1; 	-1,-1:[1,2 MULTIMEDIA_DEVICES#CONNECTIVITY 2 -1,-1]; 
laptop_quad_dev	60.0	it boots in seconds although i usually just leave it on constantly .	-1,-1; 	-1,-1:[1,2 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 
laptop_quad_dev	61.0	- the battery life is excellent ( i get 6 - 8 hours of normal university student usage out of it ) and even when i ' m using it , it charges as fast as my phone .	5,6; 34,35; 	5,6:[2,4 BATTERY#OPERATION_PERFORMANCE 2 5,6]; 34,35:[2,4 BATTERY#OPERATION_PERFORMANCE 2 34,35]; 
laptop_quad_dev	62.0	however , other than video calls it does really well .	9,10; 	9,10:[-1,-1 LAPTOP#GENERAL 2 9,10]; 
laptop_quad_dev	63.0	- the spacebar is finicky .	4,5; 	4,5:[2,3 KEYBOARD#DESIGN_FEATURES 0 4,5]; 
laptop_quad_dev	64.0	the chromebook has instant connection and a hugely impressive 8 - hour battery life when left on .	-1,-1; 8,9; 	-1,-1:[1,2 LAPTOP#CONNECTIVITY 2 -1,-1]; 8,9:[12,14 BATTERY#OPERATION_PERFORMANCE 2 8,9]; 
laptop_quad_dev	65.0	i just got it today and i love it !	7,8; 	7,8:[-1,-1 LAPTOP#GENERAL 2 7,8]; 
laptop_quad_dev	66.0	if you are in the google echo system , then this is great .	12,13; 	12,13:[5,8 SOFTWARE#GENERAL 2 12,13]; 
laptop_quad_dev	67.0	works great !	1,2; 	1,2:[-1,-1 LAPTOP#GENERAL 2 1,2]; 
laptop_quad_dev	68.0	he loves it .	1,2; 	1,2:[-1,-1 LAPTOP#GENERAL 2 1,2]; 
laptop_quad_dev	69.0	a great chromebook at a very reasonable price , includes the google play store .	1,2; 6,7; 	1,2:[2,3 LAPTOP#GENERAL 2 1,2]; 6,7:[2,3 LAPTOP#PRICE 2 6,7]; 
laptop_quad_dev	70.0	that being said , my son loves it .	6,7; 	6,7:[-1,-1 LAPTOP#GENERAL 2 6,7]; 
laptop_quad_dev	71.0	this is a functional laptop , perfect for work and casual internet browsing .	3,4; 6,7; 	3,4:[4,5 LAPTOP#OPERATION_PERFORMANCE 2 3,4]; 6,7:[4,5 LAPTOP#OPERATION_PERFORMANCE 2 6,7]; 
laptop_quad_dev	72.0	great computer and great value , our second chromebook and first one still doing fine just needed another for family .	-1,-1; 	-1,-1:[1,2 LAPTOP#GENERAL 2 -1,-1, 1,2 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	73.0	i wanted an inexpensive chromebook and this fit the bill .	3,4; 	3,4:[4,5 LAPTOP#PRICE 2 3,4]; 
laptop_quad_dev	74.0	set up is take out of box and open cover .	-1,-1; 	-1,-1:[0,2 LAPTOP#USABILITY 2 -1,-1]; 
laptop_quad_dev	75.0	works great .	1,2; 	1,2:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 1,2]; 
laptop_quad_dev	76.0	i loved mine , so i got her the same one .	1,2; 	1,2:[-1,-1 LAPTOP#GENERAL 2 1,2]; 
laptop_quad_dev	77.0	can ' t really find a viewing angle where all of it looks right at the same time .	-1,-1; 	-1,-1:[-1,-1 DISPLAY#OPERATION_PERFORMANCE 0 -1,-1]; 
laptop_quad_dev	78.0	very easy to set up .	1,2; 	1,2:[3,5 LAPTOP#USABILITY 2 1,2]; 
laptop_quad_dev	79.0	the chromebook was packaged well and we saw no defects ( ours was used ) .	4,5; 8,10; 	4,5:[1,2 SHIPPING#QUALITY 2 4,5]; 8,10:[1,2 SHIPPING#QUALITY 2 8,10]; 
laptop_quad_dev	80.0	it is a basic little laptop and i love it .	8,9; 	8,9:[5,6 LAPTOP#GENERAL 2 8,9]; 
laptop_quad_dev	81.0	the battery life is incredible and literally lasts all day , not to mention it charges to 100 % in about an hour and a half .	4,5; -1,-1; 	4,5:[1,3 BATTERY#OPERATION_PERFORMANCE 2 4,5]; -1,-1:[1,3 POWER_SUPPLY#OPERATION_PERFORMANCE 2 -1,-1]; 
laptop_quad_dev	82.0	linux is a fairly light os depending on the distro you use .	4,5; 	4,5:[0,1 OS#DESIGN_FEATURES 2 4,5, 5,6 OS#DESIGN_FEATURES 2 4,5]; 
laptop_quad_dev	83.0	there is a lot of ' bang for your buck ' in the lenovo ideapad 320 .	-1,-1; 	-1,-1:[13,16 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	84.0	low rpm hdd .	0,1; 	0,1:[2,3 HARD_DISC#OPERATION_PERFORMANCE 0 0,1]; 
laptop_quad_dev	85.0	my only fair complaint is that it occasionally restarts itself without warning ( usually no more than once every day or two ) .	3,4; 	3,4:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 3,4]; 
laptop_quad_dev	86.0	excellent laptop good speed on uploads and download .	0,1; 2,3; 	0,1:[1,2 LAPTOP#GENERAL 2 0,1]; 2,3:[1,2 LAPTOP#OPERATION_PERFORMANCE 2 2,3]; 
laptop_quad_dev	87.0	love the screen resolution .	0,1; 	0,1:[2,4 DISPLAY#OPERATION_PERFORMANCE 2 0,1]; 
laptop_quad_dev	88.0	a good product !	1,2; 	1,2:[2,3 LAPTOP#GENERAL 2 1,2]; 
laptop_quad_dev	89.0	thanks for the good quality !	3,4; 	3,4:[-1,-1 LAPTOP#QUALITY 2 3,4]; 
laptop_quad_dev	90.0	light thin best price power laptop	0,1; 1,2; 2,3; 	0,1:[5,6 LAPTOP#DESIGN_FEATURES 2 0,1]; 1,2:[5,6 LAPTOP#DESIGN_FEATURES 2 1,2]; 2,3:[5,6 LAPTOP#PRICE 2 2,3]; 
laptop_quad_dev	91.0	love this so much !	0,1; 	0,1:[-1,-1 LAPTOP#GENERAL 2 0,1]; 
laptop_quad_dev	92.0	at a ` ` black friday ` ` price , this computers specs could not be beat for the value to dollar performance ratio .	-1,-1; 	-1,-1:[11,13 LAPTOP#PRICE 2 -1,-1]; 
laptop_quad_dev	93.0	overall , this was a good buy and i still love my purchase nonetheless .	5,6; 10,11; 	5,6:[-1,-1 LAPTOP#GENERAL 2 5,6]; 10,11:[-1,-1 LAPTOP#GENERAL 2 10,11]; 
laptop_quad_dev	94.0	i ' m using it mainly to store movies , and the 1 tb drive is nice .	16,17; 	16,17:[14,15 HARD_DISC#GENERAL 2 16,17]; 
laptop_quad_dev	95.0	nice keyboard .	0,1; 	0,1:[1,2 KEYBOARD#GENERAL 2 0,1]; 
laptop_quad_dev	96.0	i have always loved loved the kindles .	4,5; -1,-1; 	4,5:[6,7 LAPTOP#GENERAL 2 4,5]; -1,-1:[6,7 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	97.0	my only complaint is that the mouse keypad is a little big .	2,3; 11,12; 	2,3:[6,8 MOUSE#DESIGN_FEATURES 0 2,3]; 11,12:[6,8 MOUSE#DESIGN_FEATURES 0 11,12]; 
laptop_quad_dev	98.0	so , i have had this laptop for almost a week and have put it through the ringer .	-1,-1; 	-1,-1:[6,7 LAPTOP#GENERAL 1 -1,-1]; 
laptop_quad_dev	99.0	only thing i really didn ' t like about this was how quickly the battery drained .	5,8; 	5,8:[14,15 BATTERY#OPERATION_PERFORMANCE 0 5,8]; 
laptop_quad_dev	100.0	i have n ' t used it much for gaming but i imagine it works fine .	15,16; 	15,16:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 15,16]; 
laptop_quad_dev	101.0	my kids have played roblox and minecraft on it along with fortnite so i think it can handle online gaming pretty good .	21,22; 	21,22:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 21,22]; 
laptop_quad_dev	102.0	if you ' re big on aesthetics then you ' ll love the look .	11,12; 	11,12:[13,14 LAPTOP#DESIGN_FEATURES 2 11,12]; 
laptop_quad_dev	103.0	i will never use another microsoft program as long as i live .	-1,-1; 	-1,-1:[5,7 SOFTWARE#GENERAL 0 -1,-1]; 
laptop_quad_dev	104.0	just a home pc laptop that works very well .	8,9; 	8,9:[2,5 LAPTOP#OPERATION_PERFORMANCE 2 8,9]; 
laptop_quad_dev	105.0	it has a full size keyboard , a number pad , a camera , and great big screen !	-1,-1; 15,16; 16,17; 	-1,-1:[5,6 KEYBOARD#DESIGN_FEATURES 2 -1,-1, 8,10 KEYBOARD#DESIGN_FEATURES 2 -1,-1, 12,13 KEYBOARD#DESIGN_FEATURES 1 -1,-1]; 15,16:[17,18 DISPLAY#DESIGN_FEATURES 2 15,16]; 16,17:[17,18 DISPLAY#DESIGN_FEATURES 2 16,17]; 
laptop_quad_dev	106.0	this is just perfect .	3,4; 	3,4:[-1,-1 LAPTOP#GENERAL 2 3,4]; 
laptop_quad_dev	107.0	very happy with this laptop although not a fan of windows 10 .	1,2; -1,-1; 	1,2:[4,5 LAPTOP#GENERAL 2 1,2]; -1,-1:[10,12 OS#GENERAL 0 -1,-1]; 
laptop_quad_dev	108.0	navigates well .	1,2; 	1,2:[0,1 Out_Of_Scope#GENERAL 2 1,2]; 
laptop_quad_dev	109.0	using it for doing programming , app development , and electronics projects .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 
laptop_quad_dev	110.0	so far i ' m enjoying it .	5,6; 	5,6:[-1,-1 LAPTOP#GENERAL 2 5,6]; 
laptop_quad_dev	111.0	it is very good for the price .	3,4; 	3,4:[-1,-1 LAPTOP#PRICE 2 3,4]; 
laptop_quad_dev	112.0	but , until that time , this review stands as : do not buy if your care about the display ' s life .	-1,-1; 	-1,-1:[19,23 DISPLAY#GENERAL 0 -1,-1]; 
laptop_quad_dev	113.0	so android is fun for tablet features , but its like embedding an android inside , without letting android apps out to utilize the full abilities of the chromium system .	3,4; -1,-1; 	3,4:[1,2 OS#GENERAL 2 3,4]; -1,-1:[1,2 OS#GENERAL 0 -1,-1]; 
laptop_quad_dev	114.0	google is expecting to add that in sometime in the next year .	-1,-1; 	-1,-1:[0,1 COMPANY#GENERAL 1 -1,-1]; 
laptop_quad_dev	115.0	i was skeptical ordering this because of the conflicting reviews .	2,3; 	2,3:[-1,-1 LAPTOP#GENERAL 0 2,3]; 
laptop_quad_dev	116.0	it keep going off on sleep mode without any way to wake it up .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 -1,-1]; 
laptop_quad_dev	117.0	which is really sad because in the time i could actually use the chromebook i absolutely loved it .	16,17; 3,4; 	16,17:[13,14 LAPTOP#GENERAL 2 16,17]; 3,4:[13,14 LAPTOP#GENERAL 0 3,4]; 
laptop_quad_dev	118.0	i tried it , and it is very limited for the current price of $ 550 .	8,9; 	8,9:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 8,9]; 
laptop_quad_dev	119.0	many apps aren ' t ` ` compatible ` ` and even the ones that work , they look awful .	19,20; 	19,20:[1,2 SOFTWARE#OPERATION_PERFORMANCE 0 19,20]; 
laptop_quad_dev	120.0	another expensive & poorly executed samsung product .	1,2; 3,4; 	1,2:[5,7 LAPTOP#PRICE 0 1,2]; 3,4:[5,7 LAPTOP#OPERATION_PERFORMANCE 0 3,4]; 
laptop_quad_dev	121.0	thankfully , this time , acer has gotten that part right .	0,1; 	0,1:[5,6 COMPANY#GENERAL 2 0,1]; 
laptop_quad_dev	122.0	things are less clear here ; the toshiba again has better performance , and uses a real ssd , but it has less impressive build quality and even less impressive materials ; it does offer a backlit keyboard and an even nicer screen , still the nicest of these three .	10,11; 22,24; 41,42; 	10,11:[7,8 LAPTOP#OPERATION_PERFORMANCE 2 10,11]; 22,24:[24,26 LAPTOP#QUALITY 0 22,24]; 41,42:[42,43 DISPLAY#GENERAL 2 41,42]; 
laptop_quad_dev	123.0	i only mention this because , in my opinion , you ' re getting about $ 300 worth of performance here ; anyone telling you this device runs like a $ 500 or $ 800 computer is exaggerating .	37,38; 	37,38:[26,27 LAPTOP#PRICE 0 37,38]; 
laptop_quad_dev	124.0	for home users , these cheap machines fit many use cases from casual browsing and two - screening , to watching videos and calling family .	5,6; -1,-1; 	5,6:[6,7 LAPTOP#PRICE 2 5,6]; -1,-1:[6,7 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 
laptop_quad_dev	125.0	as a 5 - year chromebook veteran , i ' ve been waiting for this machine .	-1,-1; 	-1,-1:[15,16 LAPTOP#GENERAL 2 -1,-1]; 
laptop_quad_dev	126.0	the processor on this chromebook is one of the best you can get on a chromebook at this price ( i did plenty of research ) , but you start to notice a lag when you have more than 3 browsers open at once .	9,10; -1,-1; 	9,10:[1,2 CPU#PRICE 2 9,10]; -1,-1:[1,2 CPU#OPERATION_PERFORMANCE 0 -1,-1]; 
laptop_quad_dev	127.0	but , honesty , for the intended use case of a budget chromebook ( youtube , bill paying , amazon prime watching machine ) this difference is negligible .	27,28; 	27,28:[12,13 LAPTOP#QUALITY 1 27,28]; 
laptop_quad_dev	128.0	i also don ' t want the power cord draped down the right side and annoying me .	15,16; 	15,16:[7,9 POWER_SUPPLY#DESIGN_FEATURES 0 15,16]; 
laptop_quad_dev	129.0	i was pleasantly surprised at how good it is .	2,3; 6,7; 	2,3:[-1,-1 LAPTOP#GENERAL 2 2,3]; 6,7:[-1,-1 LAPTOP#GENERAL 2 6,7]; 
laptop_quad_dev	130.0	as a windows and mac user , i wasn ' t sure if i could benefit from using chromeos , but i find myself using it more than i anticipated .	-1,-1; 	-1,-1:[-1,-1 OS#GENERAL 2 -1,-1]; 
laptop_quad_dev	131.0	i was extremely hesitant to buy a used macbook pro ( it ' s still a lot of money ) but so far am surprisingly pleased with it .	3,4; 25,26; 	3,4:[8,10 LAPTOP#GENERAL 1 3,4]; 25,26:[8,10 LAPTOP#GENERAL 2 25,26]; 
laptop_quad_dev	132.0	- new ports that were not in the 2011 model : hdmi port , extra thunderbolt video port ( now it has two instead of one )	1,2; 	1,2:[2,3 PORTS#GENERAL 2 1,2]; 
laptop_quad_dev	133.0	i had the chance to test the new radeon graphics card and it ' s really good .	16,17; 	16,17:[8,11 GRAPHICS#GENERAL 2 16,17]; 
laptop_quad_dev	134.0	honestly , i think nobody uses these ports anyway .	-1,-1; 	-1,-1:[7,8 PORTS#GENERAL 1 -1,-1]; 
laptop_quad_dev	135.0	maybe that ' s a consequence of how the retina display is built , but yeah , it ' s harder to keep the screen clean .	-1,-1; 	-1,-1:[24,25 DISPLAY#GENERAL 0 -1,-1]; 
laptop_quad_dev	136.0	i do wish the screen were bigger , but i had to go with the 13 ` ` due to budget constraints , so that ' s on me .	-1,-1; 	-1,-1:[4,5 DISPLAY#GENERAL 1 -1,-1]; 
laptop_quad_dev	137.0	these macbook pro computers are expensive .	5,6; 	5,6:[1,4 LAPTOP#PRICE 0 5,6]; 
laptop_quad_dev	138.0	i think for others they are just buying into the brand .	-1,-1; 	-1,-1:[10,11 COMPANY#GENERAL 1 -1,-1]; 
laptop_quad_dev	139.0	i love the retina display .	1,2; 	1,2:[3,5 DISPLAY#GENERAL 2 1,2]; 
laptop_quad_dev	140.0	i am extremely happy with this laptop .	3,4; 	3,4:[6,7 LAPTOP#GENERAL 2 3,4]; 
laptop_quad_dev	141.0	it doesn ' t effect any of the functionality , but it was a little disappointing to open the box to see a dent on something i ' d just spend $ 1 , 000 on .	15,16; 	15,16:[23,24 LAPTOP#GENERAL 0 15,16]; 
laptop_quad_dev	142.0	it worked perfectly right out of the box .	2,3; 	2,3:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 2,3]; 
laptop_quad_dev	143.0	great product !	0,1; 	0,1:[1,2 LAPTOP#GENERAL 2 0,1]; 
laptop_quad_dev	144.0	battery issues aside , i really love this laptop and it is easily the nicest piece of electronics i have ever owned .	-1,-1; 6,7; 	-1,-1:[0,1 BATTERY#GENERAL 0 -1,-1]; 6,7:[8,9 LAPTOP#GENERAL 2 6,7]; 
laptop_quad_dev	145.0	neat and sleek build , great display and very nice os	0,1; 2,3; 5,6; 9,10; 	0,1:[3,4 LAPTOP#DESIGN_FEATURES 2 0,1]; 2,3:[3,4 LAPTOP#DESIGN_FEATURES 2 2,3]; 5,6:[6,7 DISPLAY#GENERAL 2 5,6]; 9,10:[10,11 OS#GENERAL 2 9,10]; 
laptop_quad_dev	146.0	the new touchpad takes a little getting used to , but otherwise it ' s been perfect .	-1,-1; 16,17; 	-1,-1:[2,3 KEYBOARD#GENERAL 1 -1,-1]; 16,17:[-1,-1 LAPTOP#GENERAL 2 16,17]; 
laptop_quad_dev	147.0	the retina screen is amazing .	4,5; 	4,5:[1,3 DISPLAY#OPERATION_PERFORMANCE 2 4,5]; 
laptop_quad_dev	148.0	less of a fault of the much lauded diving board and more a factor of the very well designed new hardware .	17,18; 	17,18:[20,21 HARDWARE#DESIGN_FEATURES 2 17,18]; 
laptop_quad_dev	149.0	not to mention , the touchbar is just another gimmicky addition to the ` ` future of apple ` ` ( really not as effective as one would think ) .	9,10; 	9,10:[5,6 KEYBOARD#GENERAL 2 9,10]; 
laptop_quad_dev	150.0	a great computer !	1,2; 	1,2:[2,3 LAPTOP#GENERAL 2 1,2]; 
laptop_quad_dev	151.0	battery life is a huge plus !	-1,-1; 	-1,-1:[0,2 BATTERY#OPERATION_PERFORMANCE 2 -1,-1]; 
