数据源	文本序号	文本	Opinion 列表(人工)	Opinion：ACOS列表(人工)	MPQA
laptop_quad_test	23.0	flimsy power adapter .	0,1; 	0,1:[1,3 POWER_SUPPLY#GENERAL 0 0,1]; 	{ 0 -1,-1 1,2 ;}
laptop_quad_test	24.0	wi - fi slows down to crowl and speeds back up intermittently .	-1,-1; 	-1,-1:[0,3 PORTS#QUALITY 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	25.0	regret buying it at times .	0,1; 	0,1:[-1,-1 LAPTOP#GENERAL 0 0,1]; 	{ -1 0,1 -1,-1 ;}
laptop_quad_test	26.0	it just turned off and will not turn back on .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#QUALITY 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	27.0	the product is great , but the customer support is horrible .	3,4; 10,11; 	3,4:[1,2 LAPTOP#GENERAL 2 3,4]; 10,11:[7,9 SUPPORT#GENERAL 0 10,11]; 	{ -1 10,11 7,9 ;}
laptop_quad_test	28.0	called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help .	-1,-1; 	-1,-1:[1,2 SUPPORT#GENERAL 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	29.0	but i ' m getting into photography now , and it ' s terrible for loading , storing , and editing pictures .	13,14; 	13,14:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 13,14]; 	{ -1 13,14 -1,-1 ;}
laptop_quad_test	30.0	i have sent it in twice already and waiting for it to come back .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	31.0	the screen looked great .	3,4; 	3,4:[1,2 DISPLAY#GENERAL 2 3,4]; 	{ 1 3,4 1,2 ;}
laptop_quad_test	32.0	no matter how many times i reinserted the charging adapter , i kept getting this message .	-1,-1; 	-1,-1:[8,10 POWER_SUPPLY#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	33.0	i had no option but to shut down the computer , unplug it , plug it back in , and then reboot .	-1,-1; 	-1,-1:[9,10 LAPTOP#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 3,4 ;}
laptop_quad_test	34.0	it has worked well except for an initial hiccup on turning it on .	3,4; 	3,4:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 3,4]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	35.0	the screen flashes for a second every 30 seconds or so .	-1,-1; 	-1,-1:[1,2 DISPLAY#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 1,2 ;}
laptop_quad_test	36.0	i noticed the battery went down to 67 % for no reason .	-1,-1; 	-1,-1:[3,4 BATTERY#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 11,12 3,4 ;}
laptop_quad_test	37.0	works good but the fan kicks in pretty often , which is to keep the laptop cool but the sound is annoying .	21,22; 	21,22:[4,5 FANS&COOLING#OPERATION_PERFORMANCE 0 21,22, 19,20 FANS&COOLING#OPERATION_PERFORMANCE 0 21,22]; 	{ -1 21,22 19,20 ;}
laptop_quad_test	38.0	nano edge display is nice .	4,5; 	4,5:[0,3 DISPLAY#OPERATION_PERFORMANCE 2 4,5]; 	{ 1 4,5 0,3 ;}
laptop_quad_test	39.0	everything was fine and i went out for an hour .	2,3; 	2,3:[-1,-1 LAPTOP#GENERAL 2 2,3]; 	{ 0 2,3 -1,-1 ;}
laptop_quad_test	40.0	the audio is almost impossible to hear .	-1,-1; 	-1,-1:[1,2 MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 4,5 1,2 ;}
laptop_quad_test	41.0	it is slow to do everything .	2,3; 	2,3:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 2,3]; 	{ -1 2,3 -1,-1 ;}
laptop_quad_test	42.0	here ' s the kicker : it is doing a terrible job running dragon age .	10,11; 	10,11:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 10,11]; 	{ -1 10,11 -1,-1 ;}
laptop_quad_test	43.0	it doesn ' t has backlit keyboard : ( typing in low light is such a pain .	16,17; 	16,17:[5,7 KEYBOARD#DESIGN_FEATURES 0 16,17]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	44.0	very disappointed in how slow it seems .	1,2; 4,5; 	1,2:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 1,2]; 4,5:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 4,5]; 	{ -1 1,2 -1,-1 ;}
laptop_quad_test	45.0	keyboard and mouse pad seem fine , but overall it seems strangely slow .	5,6; 12,13; 	5,6:[0,1 KEYBOARD#DESIGN_FEATURES 2 5,6, 2,4 KEYBOARD#DESIGN_FEATURES 2 5,6]; 12,13:[-1,-1 LAPTOP#GENERAL 0 12,13]; 	{ -1 12,13 -1,-1 ;}
laptop_quad_test	46.0	i have been using this for just 3 months .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 0 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	47.0	crazy keypad : this issue is even worse .	0,1; 7,8; 	0,1:[1,2 KEYBOARD#GENERAL 0 0,1]; 7,8:[1,2 KEYBOARD#GENERAL 0 7,8]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	48.0	overall , the laptop has a solid feel to it .	6,7; 	6,7:[3,4 LAPTOP#GENERAL 2 6,7]; 	{ 1 6,7 3,4 ;}
laptop_quad_test	49.0	this lead me to believe that although i purchased a _ new _ product , they sent me a refurbished one instead .	-1,-1; 	-1,-1:[13,14 LAPTOP#QUALITY 0 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	50.0	i ' m out from us , i live in colombia , and maybe i can not return these laptop .	-1,-1; 	-1,-1:[19,20 LAPTOP#GENERAL 1 -1,-1]; 	{ -1 -1,-1 19,20 ;}
laptop_quad_test	51.0	i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .	1,2; 21,22; 24,25; -1,-1; 	1,2:[6,7 CPU#OPERATION_PERFORMANCE 2 1,2, 8,11 MEMORY#GENERAL 2 1,2]; 21,22:[19,21 HARDWARE#OPERATION_PERFORMANCE 0 21,22]; 24,25:[19,21 HARDWARE#OPERATION_PERFORMANCE 0 24,25]; -1,-1:[28,29 KEYBOARD#DESIGN_FEATURES 0 -1,-1, 38,40 KEYBOARD#DESIGN_FEATURES 0 -1,-1, 41,43 KEYBOARD#DESIGN_FEATURES 0 -1,-1]; 	{ -1 -1,-1 19,21 ;}
laptop_quad_test	52.0	lightweight .	0,1; 	0,1:[-1,-1 LAPTOP#DESIGN_FEATURES 2 0,1]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	53.0	yesterday the backlight went out .	-1,-1; 	-1,-1:[2,3 KEYBOARD#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 2,3 ;}
laptop_quad_test	54.0	it was brand new out of the box , i ' ve never dropped it .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	55.0	now i have to deal with warranty stuff and sending it back etc .	-1,-1; 	-1,-1:[6,8 WARRANTY#GENERAL 1 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	56.0	ram upgrade available	2,3; 	2,3:[0,1 HARDWARE#GENERAL 2 2,3]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	57.0	hard drive upgrade available	3,4; 	3,4:[0,2 MEMORY#OPERATION_PERFORMANCE 2 3,4]; 	{ 0 -1,-1 1,2 ;}
laptop_quad_test	58.0	i had issues with the touchpad sticking or not responding to click correctly from the start .	-1,-1; 	-1,-1:[5,6 HARDWARE#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	59.0	it ' s still a mainly functional computer , but using it is just not the greatest .	6,7; 14,17; 	6,7:[7,8 LAPTOP#GENERAL 1 6,7]; 14,17:[7,8 LAPTOP#GENERAL 1 14,17]; 	{ -1 -1,-1 6,8 ;}
laptop_quad_test	60.0	we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks .	-1,-1; 	-1,-1:[5,6 LAPTOP#GENERAL 1 -1,-1, -1,-1 LAPTOP#GENERAL 0 -1,-1]; 	{ -1 -1,-1 5,6 ;}
laptop_quad_test	61.0	i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found .	-1,-1; 	-1,-1:[4,6 SUPPORT#GENERAL 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	62.0	display stop working within 2 months .	-1,-1; 	-1,-1:[0,1 DISPLAY#GENERAL 0 -1,-1]; 	{ -1 -1,-1 0,1 ;}
laptop_quad_test	63.0	since it came with no user manual , i had to call asus customer support and got someone who knew all about windows 10 software but nothing about my asus notebook .	-1,-1; 	-1,-1:[12,15 SUPPORT#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	64.0	after reading all the bad reviews , just sent it back for a refund .	4,5; 	4,5:[-1,-1 LAPTOP#QUALITY 0 4,5]; 	{ -1 4,5 -1,-1 ;}
laptop_quad_test	65.0	all over this asus laptop which has a non - functioning touchpad .	-1,-1; 8,11; 	-1,-1:[3,5 LAPTOP#GENERAL 0 -1,-1]; 8,11:[11,12 HARDWARE#QUALITY 0 8,11]; 	{ -1 -1,-1 3,5 ; -1 -1,-1 11,12 ;}
laptop_quad_test	66.0	my screen broke when just putting a textbook on it .	-1,-1; 	-1,-1:[1,2 DISPLAY#GENERAL 0 -1,-1]; 	{ -1 -1,-1 1,2 ;}
laptop_quad_test	67.0	don ' t even bother calling customer support , in my experience , they do you no good .	16,18; 	16,18:[6,8 SUPPORT#GENERAL 0 16,18]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	68.0	keyboard needs to be redesigned entirely .	-1,-1; 	-1,-1:[0,1 KEYBOARD#DESIGN_FEATURES 0 -1,-1]; 	{ -1 -1,-1 0,1 ;}
laptop_quad_test	69.0	6 ` ` screen is big enough to read with ease , yet the item itself is light enough to tote to meetings .	5,6; 10,11; 17,18; 	5,6:[-1,-1 DISPLAY#DESIGN_FEATURES 2 5,6]; 10,11:[-1,-1 DISPLAY#DESIGN_FEATURES 2 10,11]; 17,18:[14,15 LAPTOP#PORTABILITY 2 17,18]; 	{ 1 -1,-1 14,15 ;}
laptop_quad_test	70.0	so far , this looks as if it meets my needs as a good ` ` work machine . ` `	13,14; 	13,14:[16,18 LAPTOP#GENERAL 2 13,14]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	71.0	after exactly one year of useage this computer completely stopped working .	-1,-1; 	-1,-1:[7,8 LAPTOP#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 7,8 ;}
laptop_quad_test	72.0	it boots up in 10 seconds and shuts down in 2 to 3 seconds .	-1,-1; 	-1,-1:[1,3 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1, 7,9 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	73.0	i like the idea that the keyboard lights up and has a ` ` time out ` ` feature to shut off .	1,2; 	1,2:[6,7 KEYBOARD#DESIGN_FEATURES 2 1,2]; 	{ 1 -1,-1 6,7 ;}
laptop_quad_test	74.0	it seems put together well .	4,5; 	4,5:[-1,-1 LAPTOP#GENERAL 2 4,5]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	75.0	what they lack in size , they make up for in raw speed , durability , and energy efficiency .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#DESIGN_FEATURES 0 -1,-1, -1,-1 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 	{ 1 -1,-1 18,19 ;}
laptop_quad_test	76.0	+ decent quantity of available ports	1,2; 4,5; 	1,2:[5,6 PORTS#QUALITY 2 1,2]; 4,5:[5,6 PORTS#QUALITY 2 4,5]; 	{ 1 1,2 2,3 ;}
laptop_quad_test	77.0	+ it has a dvd drive : o	-1,-1; 	-1,-1:[4,6 OPTICAL_DRIVES#GENERAL 1 -1,-1]; 	{ 1 5,6 4,5 ;}
laptop_quad_test	78.0	- it runs hot !	-1,-1; 	-1,-1:[-1,-1 LAPTOP#QUALITY 0 -1,-1]; 	{ -1 3,4 -1,-1 ;}
laptop_quad_test	79.0	running grid benchmark , it got to a high 92 / 93 degrees c !	-1,-1; 	-1,-1:[-1,-1 LAPTOP#QUALITY 0 -1,-1]; 	{ 0 -1,-1 1,3 ; 0 -1,-1 12,13 ;}
laptop_quad_test	80.0	- new i5 mobile processor .	-1,-1; 	-1,-1:[2,5 CPU#GENERAL 1 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	81.0	- ddr4 ram that is upgradable .	5,6; 	5,6:[1,3 MEMORY#GENERAL 2 5,6]; 	{ 1 -1,-1 1,3 ;}
laptop_quad_test	82.0	- very decent battery life .	2,3; 	2,3:[3,5 BATTERY#OPERATION_PERFORMANCE 2 2,3]; 	{ 1 2,3 3,5 ;}
laptop_quad_test	83.0	so far i am pleasantly impressed with this unit , however i have not used it a long time or tested many applications to date .	4,5; 	4,5:[8,9 LAPTOP#GENERAL 2 4,5]; 	{ 1 -1,-1 8,9 ;}
laptop_quad_test	84.0	i can certainly say this is the best laptop i ' ve ever had ( but then again i ' ve only had 3 , and you would expect these things to improve over time , right ) .	7,8; 	7,8:[8,9 LAPTOP#GENERAL 2 7,8]; 	{ 1 7,8 8,9 ;}
laptop_quad_test	85.0	i ' ve been using it for at least 4 hours since last charged in that 23 % used up .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	86.0	- as others have mentioned , the keyboard backlight turns off after just a few seconds of not typing , which can be annoying and there doesn ' t seem to be a way to change this .	23,24; 	23,24:[7,9 KEYBOARD#OPERATION_PERFORMANCE 0 23,24]; 	{ -1 23,24 -1,-1 ;}
laptop_quad_test	87.0	- easily upgradeable ram	2,3; 	2,3:[3,4 MEMORY#USABILITY 2 2,3]; 	{ 1 1,2 3,4 ;}
laptop_quad_test	88.0	one feature that i love is the ability to disable the touchpad from the keyboard .	4,5; 	4,5:[11,12 KEYBOARD#DESIGN_FEATURES 2 4,5, 14,15 KEYBOARD#DESIGN_FEATURES 2 4,5]; 	{ 1 -1,-1 7,8 ;}
laptop_quad_test	89.0	it ' s not fancy , but it ' s good value and fast and trouble - free .	3,5; 10,11; 13,14; 15,18; 	3,5:[-1,-1 LAPTOP#DESIGN_FEATURES 1 3,5]; 10,11:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 10,11]; 13,14:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 13,14]; 15,18:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 15,18]; 	{ 1 10,11 -1,-1 ;}
laptop_quad_test	90.0	after spending some time with it , the feature can really be useful .	12,13; 	12,13:[8,9 KEYBOARD#DESIGN_FEATURES 2 12,13]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	91.0	easily upgrade to storage and ram .	-1,-1; 	-1,-1:[5,6 MEMORY#USABILITY 2 -1,-1]; 	{ 1 0,1 -1,-1 ;}
laptop_quad_test	92.0	this does not really matter to me because the mx150 is enough for my needs .	-1,-1; 	-1,-1:[9,10 GRAPHICS#DESIGN_FEATURES 1 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	93.0	i love the solid state drive , as reviews or ads say you can boot up and get onto internet in 10 to 15 seconds .	1,2; 	1,2:[3,6 HARD_DISC#GENERAL 2 1,2]; 	{ 1 -1,-1 4,6 ;}
laptop_quad_test	94.0	it ' s not a ` ` gaming ` ` laptop even it can do some more casual gaming .	-1,-1; 	-1,-1:[10,11 LAPTOP#GENERAL 2 -1,-1]; 	{ -1 -1,-1 7,11 ;}
laptop_quad_test	95.0	it ' s super fast , boots up in seconds .	4,5; 	4,5:[6,8 LAPTOP#OPERATION_PERFORMANCE 2 4,5]; 	{ 1 3,4 -1,-1 ;}
laptop_quad_test	96.0	i am very impressed with this system .	3,4; 	3,4:[6,7 OS#OPERATION_PERFORMANCE 2 3,4]; 	{ 1 -1,-1 6,7 ;}
laptop_quad_test	97.0	mastercam itself runs pretty good .	4,5; 	4,5:[0,1 MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE 2 4,5]; 	{ 1 4,5 0,1 ;}
laptop_quad_test	98.0	as usual amazon was great about returning it .	4,5; 	4,5:[2,3 SUPPORT#QUALITY 2 4,5]; 	{ 1 4,5 2,3 ;}
laptop_quad_test	99.0	screen is decent , not great , it is matte finished .	2,3; 4,6; 	2,3:[0,1 DISPLAY#DESIGN_FEATURES 2 2,3]; 4,6:[0,1 DISPLAY#DESIGN_FEATURES 2 4,6]; 	{ 1 2,3 0,1 ;}
laptop_quad_test	100.0	i like the back lit keyboard .	1,2; 	1,2:[3,6 KEYBOARD#DESIGN_FEATURES 2 1,2]; 	{ 1 -1,-1 3,4 ;}
laptop_quad_test	101.0	it ' s a lot of good for a comparatively cheap price .	6,7; 10,11; 	6,7:[-1,-1 LAPTOP#PRICE 2 6,7]; 10,11:[-1,-1 LAPTOP#PRICE 2 10,11]; 	{ 1 6,7 -1,-1 ;}
laptop_quad_test	102.0	the screen is perfectly adequate .	3,4; 	3,4:[1,2 DISPLAY#OPERATION_PERFORMANCE 2 3,4]; 	{ 1 3,4 1,2 ;}
laptop_quad_test	103.0	this thing boots up super quick and it sleek and beautiful .	5,6; 8,9; 10,11; 	5,6:[2,4 LAPTOP#OPERATION_PERFORMANCE 2 5,6]; 8,9:[-1,-1 LAPTOP#DESIGN_FEATURES 2 8,9]; 10,11:[-1,-1 LAPTOP#DESIGN_FEATURES 2 10,11]; 	{ 1 10,11 -1,-1 ;}
laptop_quad_test	104.0	google and partners have done great with chromebooks and have plenty of features to accommodate .	5,6; 	5,6:[0,3 COMPANY#GENERAL 2 5,6]; 	{ 1 10,11 0,1 ;}
laptop_quad_test	105.0	i would highly recommend this to anyone , but especially to someone wanting something that is affordable , easy to use and just a bit more than a tablet .	16,17; 18,19; 	16,17:[-1,-1 LAPTOP#PRICE 2 16,17]; 18,19:[-1,-1 LAPTOP#USABILITY 2 18,19]; 	{ 1 18,19 -1,-1 ;}
laptop_quad_test	106.0	i ' m getting very used to the multiple finger shortcuts on the touch pad when navigating chrome .	-1,-1; 	-1,-1:[13,15 KEYBOARD#USABILITY 2 -1,-1]; 	{ 0 -1,-1 10,11 ; 0 -1,-1 9,10 ;}
laptop_quad_test	107.0	this thing is still fantastic for what it is .	4,5; 	4,5:[-1,-1 LAPTOP#GENERAL 2 4,5]; 	{ 1 4,5 -1,-1 ;}
laptop_quad_test	108.0	i chose to purchase a samsung chromebook this time just to try out a different company and because it was inexpensive ( i paid $ 189 .	20,21; 	20,21:[5,7 LAPTOP#PRICE 2 20,21]; 	{ 1 20,21 -1,-1 ;}
laptop_quad_test	109.0	i couldn ' t be happier with this product !	2,6; 	2,6:[8,9 LAPTOP#GENERAL 2 2,6]; 	{ 1 -1,-1 8,9 ;}
laptop_quad_test	110.0	the screen hinge is super strong and it ' s hard to imagine it breaking unless you dropped it .	5,6; 	5,6:[1,3 DISPLAY#QUALITY 2 5,6]; 	{ 1 5,6 1,3 ;}
laptop_quad_test	111.0	the size is perfect , it ' s easy to toss it in my satchel or backpack along with my textbook and notebooks and have plenty of room .	3,4; 	3,4:[1,2 LAPTOP#DESIGN_FEATURES 2 3,4, -1,-1 LAPTOP#PORTABILITY 2 3,4]; 	{ 1 25,26 -1,-1 ; 1 25,26 27,28 ;}
laptop_quad_test	112.0	works great right out of the box , as advertised .	1,2; 	1,2:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 2 1,2]; 	{ 1 1,2 2,3 ;}
laptop_quad_test	113.0	the battery life on this seems good .	6,7; 	6,7:[1,3 BATTERY#OPERATION_PERFORMANCE 2 6,7]; 	{ 1 6,7 1,3 ;}
laptop_quad_test	114.0	this chromebook instantly connects to the internet .	-1,-1; 	-1,-1:[1,2 LAPTOP#CONNECTIVITY 2 -1,-1]; 	{ 1 -1,-1 1,2 ;}
laptop_quad_test	115.0	going to a grocery store or fitness center , the android tablets took so long to connect that i finished my shopping before they came online .	-1,-1; 	-1,-1:[10,12 LAPTOP#CONNECTIVITY 0 -1,-1]; 	{ -1 -1,-1 10,12 ;}
laptop_quad_test	116.0	everything is perfect .	2,3; 	2,3:[-1,-1 LAPTOP#GENERAL 2 2,3]; 	{ 1 2,3 -1,-1 ;}
laptop_quad_test	117.0	powers up immediately , great battery life , great keyboard , amazing features .	-1,-1; 8,9; 11,12; 	-1,-1:[0,2 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1, 9,10 KEYBOARD#GENERAL 2 -1,-1]; 8,9:[5,7 BATTERY#GENERAL 2 8,9]; 11,12:[-1,-1 LAPTOP#DESIGN_FEATURES 2 11,12]; 	{ 1 11,12 -1,-1 ;}
laptop_quad_test	118.0	was considering an apple product but i ' m much happier with this !	10,11; 	10,11:[-1,-1 LAPTOP#GENERAL 2 10,11]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	119.0	this is my third samsung chromebook and i will continue to use this brand .	-1,-1; 	-1,-1:[4,6 LAPTOP#GENERAL 2 -1,-1, 13,14 COMPANY#GENERAL 2 -1,-1]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	120.0	does not act like a tablet , but it can have almost 10 tabs open before affecting performance , including video streaming .	-1,-1; 	-1,-1:[5,6 LAPTOP#OPERATION_PERFORMANCE 2 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	121.0	this was purchased for my son to download his high school textbooks for use .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#USABILITY 1 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	122.0	great price for a good book used for college students who carry all day	4,5; 0,1; 	4,5:[5,6 LAPTOP#GENERAL 2 4,5]; 0,1:[5,6 LAPTOP#PRICE 2 0,1]; 	{ 1 4,5 5,6 ;}
laptop_quad_test	123.0	i bought this refurbished and haven ' t experienced any issues .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 2 -1,-1]; 	{ 1 -1,-1 -1,-1 ;}
laptop_quad_test	124.0	this laptop is very straight forward .	-1,-1; 	-1,-1:[1,2 LAPTOP#GENERAL 2 -1,-1]; 	{ 1 -1,-1 1,2 ;}
